feature,importance,fold
pe_ret_1_lag3,379.34458208084106,7
itm_ce_ret_1_lag1,190.17776012420654,7
itm_ce_ret_1_lag2,317.96132230758667,7
itm_ce_ret_1_lag3,388.36232900619507,7
itm_pe_ret_1_lag1,251.13822174072266,7
itm_pe_ret_1_lag2,345.0513792037964,7
itm_pe_ret_1_lag3,329.61090755462646,7
ce_pe_ratio_lag1,317.4048309326172,7
ce_pe_ratio_lag2,235.791729927063,7
ce_pe_ratio_lag3,285.5323009490967,7
ce_minus_pe_lag1,312.8960909843445,7
ce_minus_pe_lag2,373.44971084594727,7
ce_minus_pe_lag3,204.5840196609497,7
atm_itm_spread_ce_lag1,252.17770099639893,7
atm_itm_spread_ce_lag2,270.6452097892761,7
atm_itm_spread_ce_lag3,437.7964882850647,7
atm_itm_spread_pe_lag1,359.97852087020874,7
atm_itm_spread_pe_lag2,370.0023717880249,7
atm_itm_spread_pe_lag3,351.4478302001953,7
atm_ce_oi_z60_lag1,189.54797983169556,7
atm_ce_oi_z60_lag2,426.878191947937,7
atm_ce_oi_z60_lag3,318.668909072876,7
atm_pe_oi_z60_lag1,128.85853099822998,7
atm_pe_oi_z60_lag2,298.89146900177,7
atm_pe_oi_z60_lag3,357.3982524871826,7
itm_ce_oi_z60_lag1,344.07727241516113,7
itm_ce_oi_z60_lag2,264.5426025390625,7
itm_ce_oi_z60_lag3,417.1779980659485,7
itm_pe_oi_z60_lag1,386.6959390640259,7
itm_pe_oi_z60_lag2,404.19275188446045,7
itm_pe_oi_z60_lag3,367.8475880622864,7
nifty_ret_1,1676.8250122070312,8
nifty_ret_3,1437.7168183326721,8
ce_ret_1,712.7828660011292,8
pe_ret_1,952.907576084137,8
itm_ce_ret_1,1067.6701884269714,8
itm_pe_ret_1,1071.0057814121246,8
ce_pe_ratio,500.40673828125,8
ce_minus_pe,680.0659584999084,8
atm_itm_spread_ce,636.7852005958557,8
atm_itm_spread_pe,514.7302784919739,8
atm_ce_oi_z60,800.0504364967346,8
atm_pe_oi_z60,343.72844886779785,8
itm_ce_oi_z60,613.7730898857117,8
itm_pe_oi_z60,696.9860286712646,8
oi_ce_change_1,629.8247494697571,8
oi_pe_change_1,601.6342377662659,8
nifty_vol_5,1192.3761310577393,8
nifty_vol_15,1017.247663974762,8
atr_5,1014.5896019935608,8
vol_regime,1137.8417882919312,8
minute_of_day,3277.988149166107,8
sin_md,826.9278321266174,8
cos_md,970.4584708213806,8
atm_shift,0.0,8
mom_delta,470.2758822441101,8
mom_3_sum,1067.0581860542297,8
atm_itm_ce_ratio,727.6249475479126,8
atm_itm_pe_ratio,539.9137201309204,8
above_breakout_15,0.0,8
below_breakout_15,0.0,8
nifty_ret_1_lag1,1175.2701063156128,8
nifty_ret_1_lag2,792.8752679824829,8
nifty_ret_1_lag3,1058.671618938446,8
nifty_ret_3_lag1,1380.129240512848,8
nifty_ret_3_lag2,1267.2424893379211,8
nifty_ret_3_lag3,1460.1612663269043,8
ce_ret_1_lag1,593.1512002944946,8
ce_ret_1_lag2,640.4861707687378,8
ce_ret_1_lag3,632.7117505073547,8
pe_ret_1_lag1,548.0354475975037,8
pe_ret_1_lag2,470.77435064315796,8
pe_ret_1_lag3,655.8397498130798,8
itm_ce_ret_1_lag1,474.54941844940186,8
itm_ce_ret_1_lag2,455.4950976371765,8
itm_ce_ret_1_lag3,608.5426774024963,8
itm_pe_ret_1_lag1,606.1364116668701,8
itm_pe_ret_1_lag2,621.1723470687866,8
itm_pe_ret_1_lag3,590.5067896842957,8
ce_pe_ratio_lag1,612.736647605896,8
ce_pe_ratio_lag2,244.44899082183838,8
ce_pe_ratio_lag3,308.4753131866455,8
ce_minus_pe_lag1,716.7714204788208,8
ce_minus_pe_lag2,369.69312810897827,8
ce_minus_pe_lag3,496.3204402923584,8
