time,close_SPOT,EMA5_SPOT,EMA13_SPOT,close_FUT,VWAP_FUT,OI_RAW,OI_CHG,OPT_CLOSE,OPT_OI
2025-12-19 12:50:00,25948.65,25949.57830051967,25944.892270767232,25999.1,25919.605014462464,313170.0,156591.0,59.95,460779.0
2025-12-19 12:55:00,25952.85,25950.66886701312,25946.029089229058,25996.1,25919.706936365477,313128.0,-42.0,59.75,463626.0
2025-12-19 13:00:00,25952.0,25951.112578008746,25946.882076482052,25992.6,25919.787570631714,156495.0,-156633.0,58.85,234420.0
2025-12-19 13:05:00,25940.7,25947.6417186725,25945.998922698902,25990.3,25919.83528287358,313001.0,156506.0,56.35,470867.0
2025-12-19 13:10:00,25930.2,25941.827812448333,25943.741933741916,25982.0,25920.072910668026,312912.0,-89.0,53.25,459765.0
2025-12-19 13:15:00,25954.65,25946.101874965556,25945.300228921642,25998.0,25920.45673926966,156429.0,-156483.0,58.6,230742.0
2025-12-19 13:20:00,25957.3,25949.834583310374,25947.014481932838,26000.0,25920.690295743927,312735.0,156306.0,60.15,472542.0
2025-12-19 13:25:00,25956.2,25951.956388873583,25948.326698799578,26006.0,25920.8060037188,156384.0,-156351.0,62.6,472407.0
2025-12-19 13:30:00,25967.9,25957.270925915724,25951.122884685356,26011.1,25921.22040029423,156369.0,-15.0,63.9,235241.0
2025-12-19 13:35:00,25969.6,25961.38061727715,25953.76247258745,26012.0,25921.4477802138,312725.0,156356.0,63.55,464670.0
2025-12-19 13:40:00,25977.65,25966.803744851437,25957.174976503527,26019.0,25921.661131775807,312684.0,-41.0,67.55,459182.0
2025-12-19 13:45:00,25977.15,25970.252496567628,25960.02855128874,26021.0,25922.232111365505,156318.0,-156366.0,66.55,222820.0
2025-12-19 13:50:00,25973.25,25971.251664378422,25961.917329676064,26019.2,25922.56240353618,156296.0,-22.0,64.65,439805.0
2025-12-19 13:55:00,25975.85,25972.78444291895,25963.90771115091,26020.0,25922.868885409196,312429.0,156133.0,67.1,437292.0
2025-12-19 14:00:00,25968.95,25971.5062952793,25964.62803812935,26012.5,25923.354387735864,156166.0,-156263.0,62.9,218714.0
2025-12-19 14:05:00,25967.25,25970.087530186203,25965.002604110872,26014.5,25923.58551344814,312152.0,155986.0,63.6,424305.0
2025-12-19 14:10:00,25967.5,25969.225020124137,25965.359374952175,26017.3,25923.872999625048,312217.0,65.0,63.3,424209.0
2025-12-19 14:15:00,25978.35,25972.266680082757,25967.215178530438,26027.0,25924.14760873442,156104.0,-156113.0,68.1,212557.0
2025-12-19 14:20:00,25989.05,25977.861120055175,25970.334438740378,26038.8,25925.270498172627,312159.0,156055.0,73.95,425394.0
2025-12-19 14:25:00,25971.05,25975.590746703452,25970.436661777465,26022.0,25926.09877071281,311828.0,-331.0,65.85,412702.0
2025-12-19 14:30:00,25967.5,25972.893831135636,25970.0171386664,26019.1,25926.24884076232,155872.0,-155956.0,64.2,203203.0
2025-12-19 14:35:00,25974.75,25973.512554090426,25970.69326171406,26023.5,25926.57266421697,311782.0,155910.0,67.3,403553.0
2025-12-19 14:40:00,25974.2,25973.74170272695,25971.194224326337,26020.0,25926.88587368922,311790.0,8.0,66.5,407097.0
2025-12-19 14:45:00,25979.35,25975.611135151303,25972.35933513686,26031.1,25927.74121440787,155928.0,-155862.0,67.75,203782.0
2025-12-19 14:50:00,25964.7,25971.97409010087,25971.265144403027,26019.0,25928.42198378636,311209.0,155281.0,64.7,401572.0
2025-12-19 14:55:00,25958.75,25967.56606006725,25969.47726663117,26021.7,25928.94685024695,310862.0,-347.0,62.75,399475.0
2025-12-19 15:00:00,25964.75,25966.62737337817,25968.801942826718,26025.0,25930.185276707365,155406.0,-155456.0,64.0,194350.0
2025-12-19 15:05:00,25971.85,25968.36824891878,25969.23737956576,26035.0,25931.16303985132,310521.0,155115.0,67.55,382679.0
2025-12-19 15:10:00,25969.85,25968.862165945855,25969.324896770653,26032.8,25932.004551260092,309638.0,-883.0,66.5,365499.0
2025-12-19 15:15:00,25970.35,25969.358110630572,25969.47134008913,26030.2,25933.157653998343,154526.0,-155112.0,65.0,177462.0
2025-12-19 15:20:00,25970.15,25969.62207375372,25969.56829150497,26032.1,25934.11388700521,308670.0,154144.0,64.9,345005.0
2025-12-19 15:25:00,25961.4,25966.88138250248,25968.401392718548,26037.0,25935.903562715015,154167.0,-154503.0,68.05,300804.0
2025-12-19 15:30:00,25966.4,25966.720921668322,25968.115479473043,26036.9,25935.936029002813,0.0,-154167.0,68.35,0.0
