timestamp,nifty_ltp,expiry,atm_strike,ce_symbol,pe_symbol,atm_ce_ltp,atm_pe_ltp,open,high,low,close
2025-11-14 12:34:00,25807.6,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,140.05,91.8,25811.1,25811.45,25805.6,25807.6
2025-11-14 12:35:00,25812.5,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,143.25,89.7,25808.95,25814.05,25808.15,25812.5
2025-11-14 12:36:00,25814.55,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,145.25,86.95,25810.15,25815.45,25810.15,25814.55
2025-11-14 12:37:00,25811.15,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,140.65,91.05,25814.1,25817.5,25810.3,25811.15
2025-11-14 12:38:00,25805.4,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,140.3,92.35,25809.2,25810.95,25803.85,25805.4
2025-11-14 12:39:00,25804.85,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,140.15,92.4,25805.1,25807.35,25802.5,25804.85
2025-11-14 12:40:00,25805.85,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,138.85,92.5,25804.75,25807.8,25803.15,25805.85
2025-11-14 12:41:00,25806.95,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,141.2,91.05,25803.2,25811.15,25803.2,25806.95
2025-11-14 12:42:00,25807.85,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,142.2,90.25,25806.55,25811.05,25805.45,25807.85
2025-11-14 12:43:00,25815.35,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,148.05,84.75,25806.05,25816.0,25806.05,25815.35
2025-11-14 12:44:00,25811.05,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,144.2,88.6,25814.7,25815.6,25809.95,25811.05
2025-11-14 12:45:00,25797.85,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,133.6,98.0,25810.75,25812.65,25797.3,25797.85
2025-11-14 12:46:00,25800.35,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,140.6,92.8,25796.9,25802.4,25792.05,25800.35
2025-11-14 12:47:00,25804.3,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,143.75,90.25,25800.05,25805.05,25799.15,25804.3
2025-11-14 12:48:00,25807.85,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,148.25,86.75,25804.15,25809.55,25804.15,25807.85
2025-11-14 12:49:00,25813.45,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,150.55,84.0,25806.55,25815.25,25806.55,25813.45
2025-11-14 12:50:00,25813.6,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,148.05,85.45,25813.25,25816.4,25811.15,25813.6
2025-11-14 12:51:00,25807.75,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,143.15,89.85,25812.7,25813.15,25807.0,25807.75
2025-11-14 12:52:00,25805.75,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,142.65,90.75,25807.3,25809.95,25804.55,25805.75
2025-11-14 12:53:00,25806.1,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,143.85,89.25,25805.15,25808.4,25803.6,25806.1
2025-11-14 12:54:00,25803.05,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,140.15,91.6,25805.15,25808.15,25800.9,25803.05
2025-11-14 12:55:00,25804.75,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,142.4,90.05,25803.0,25806.7,25801.3,25804.75
2025-11-14 12:56:00,25807.3,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,143.2,88.8,25804.55,25809.45,25804.35,25807.3
2025-11-14 12:57:00,25804.65,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,141.45,89.75,25807.85,25808.8,25804.05,25804.65
2025-11-14 12:58:00,25801.55,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,142.2,89.45,25804.15,25805.4,25800.2,25801.55
2025-11-14 12:59:00,25799.9,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,140.45,91.25,25801.5,25803.85,25797.7,25799.9
2025-11-14 13:00:00,25794.25,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,136.0,95.3,25799.65,25800.9,25791.3,25794.25
2025-11-14 13:01:00,25792.9,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,137.95,94.45,25792.1,25795.8,25791.4,25792.9
2025-11-14 13:02:00,25789.4,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,136.25,95.8,25791.6,25792.9,25786.3,25789.4
2025-11-14 13:03:00,25793.9,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,140.8,91.2,25789.5,25797.7,25788.85,25793.9
2025-11-14 13:04:00,25787.6,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,132.6,98.15,25794.05,25795.2,25787.15,25787.6
2025-11-14 13:05:00,25792.3,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,138.45,92.4,25787.75,25792.3,25781.75,25792.3
2025-11-14 13:06:00,25787.6,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,134.5,97.2,25792.15,25795.8,25786.75,25787.6
2025-11-14 13:07:00,25788.15,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,137.7,93.7,25786.75,25788.8,25783.8,25788.15
2025-11-14 13:08:00,25791.2,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,138.45,92.45,25788.2,25793.75,25787.65,25791.2
2025-11-14 13:09:00,25788.5,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,137.0,94.15,25791.3,25791.9,25786.3,25788.5
2025-11-14 13:10:00,25787.6,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,136.3,94.5,25788.25,25788.75,25786.1,25787.6
2025-11-14 13:11:00,25786.4,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,136.1,93.65,25786.85,25789.0,25784.9,25786.4
2025-11-14 13:12:00,25797.2,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,140.35,89.0,25785.9,25797.35,25784.55,25797.2
2025-11-14 13:13:00,25804.75,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,144.5,83.85,25796.95,25804.75,25794.2,25804.75
2025-11-14 13:14:00,25799.6,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,142.9,86.95,25802.3,25803.9,25798.55,25799.6
2025-11-14 13:15:00,25798.75,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,141.9,87.85,25799.0,25799.35,25795.0,25798.75
2025-11-14 13:16:00,25803.65,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,146.0,84.6,25798.0,25806.65,25797.3,25803.65
2025-11-14 13:17:00,25812.2,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,146.35,82.65,25803.5,25816.7,25803.45,25812.2
2025-11-14 13:18:00,25809.9,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,147.2,82.55,25811.25,25812.45,25807.35,25809.9
2025-11-14 13:19:00,25806.35,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,142.95,85.95,25808.95,25810.9,25804.3,25806.35
2025-11-14 13:20:00,25807.05,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,146.7,82.9,25804.7,25807.65,25803.6,25807.05
2025-11-14 13:21:00,25808.15,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,147.35,81.9,25807.6,25810.7,25806.35,25808.15
