option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees_gross,transaction_cost,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,exit_slippage,signal_time,entry_delay,capital_after
CE,26000,2025-12-15 11:30:00,62.5,25967.8,26047.0,2025-12-15 11:40:00,50.1,STOP_LOSS,-12.4,-930.0,41.88,-971.88,10.0,False,62.5,2025-12-16,-1.0,2025-12-15 11:25:00,300.0,6163.590000000002
PE,25900,2025-12-16 11:35:00,47.35,25885.35,25961.8,2025-12-16 12:00:00,42.75,STOP_LOSS,-4.6,-345.0,41.6,-386.6,25.0,False,47.35,2025-12-16,-1.0,2025-12-16 11:30:00,300.0,5776.990000000002
PE,25950,2025-12-16 12:40:00,64.8,25894.35,25966.5,2025-12-16 13:15:00,67.5,TIME_EXIT,2.7,202.5,42.53,159.97,35.0,True,71.25,2025-12-16,-0.75,2025-12-16 12:35:00,300.0,5936.960000000002
CE,25900,2025-12-16 13:50:00,37.9,25919.0,26002.0,2025-12-16 14:05:00,20.25,STOP_LOSS,-17.65,-1323.75,40.76,-1364.51,15.0,False,37.9,2025-12-16,-1.0,2025-12-16 13:45:00,300.0,4572.450000000002
CE,25950,2025-12-17 09:25:00,124.15,25903.5,25980.6,2025-12-17 09:35:00,127.0,STOP_LOSS,2.85,213.75,44.76,168.99,10.0,True,124.15,2025-12-23,-1.0,2025-12-17 09:20:00,300.0,4741.440000000001
PE,25900,2025-12-17 09:45:00,117.25,25862.9,25939.0,2025-12-17 10:10:00,143.25,TARGET,26.0,1950.0,45.37,1904.63,25.0,True,135.4,2025-12-23,-0.5,2025-12-17 09:40:00,300.0,6646.0700000000015
PE,25750,2025-12-18 09:40:00,81.95,25745.1,25820.0,2025-12-18 09:50:00,96.85,TARGET,14.9,1117.5,43.63,1073.87,10.0,True,93.3,2025-12-23,-0.5,2025-12-18 09:35:00,300.0,7719.940000000001
CE,25800,2025-12-18 10:15:00,119.6,25823.4,25900.0,2025-12-18 10:25:00,145.5,TARGET,25.9,1942.5,45.46,1897.04,10.0,True,139.6,2025-12-23,-0.5,2025-12-18 10:10:00,300.0,9616.980000000001
CE,25950,2025-12-19 10:20:00,94.3,25949.6,26005.0,2025-12-19 10:45:00,106.3,TARGET,12.0,900.0,43.99,856.01,25.0,True,104.95,2025-12-23,-0.5,2025-12-19 10:15:00,300.0,10472.990000000002
PE,25950,2025-12-19 11:30:00,89.75,25929.75,25982.2,2025-12-19 11:50:00,90.4,TARGET,0.65,48.75,43.39,5.36,20.0,True,100.2,2025-12-23,-0.5,2025-12-19 11:25:00,300.0,10478.350000000002
CE,25950,2025-12-19 12:35:00,87.0,25959.65,26012.1,2025-12-19 13:05:00,80.0,STOP_LOSS,-7.0,-525.0,43.0,-568.0,30.0,False,88.25,2025-12-23,-1.0,2025-12-19 12:30:00,300.0,9910.350000000002
PE,25950,2025-12-19 13:15:00,86.2,25954.65,25998.0,2025-12-19 13:25:00,73.65,STOP_LOSS,-12.55,-941.25,42.76,-984.01,10.0,False,86.2,2025-12-23,-1.0,2025-12-19 13:10:00,300.0,8926.340000000002
CE,25950,2025-12-19 13:35:00,90.95,25969.6,26012.0,2025-12-19 14:10:00,86.45,TIME_EXIT,-4.5,-337.5,43.24,-380.74,35.0,False,94.45,2025-12-23,-0.75,2025-12-19 13:30:00,300.0,8545.600000000002
CE,26150,2025-12-22 11:30:00,51.95,26133.15,26189.5,2025-12-22 12:05:00,52.45,TIME_EXIT,0.5,37.5,41.97,-4.47,35.0,False,53.9,2025-12-23,-0.75,2025-12-22 11:25:00,300.0,8541.130000000003
CE,26150,2025-12-22 12:20:00,55.15,26144.75,26190.0,2025-12-22 12:40:00,51.0,STOP_LOSS,-4.15,-311.25,41.91,-353.16,20.0,False,55.15,2025-12-23,-1.0,2025-12-22 12:15:00,300.0,8187.970000000003
CE,26150,2025-12-22 12:55:00,50.35,26139.55,26186.0,2025-12-22 13:30:00,50.95,TIME_EXIT,0.6,45.0,41.91,3.09,35.0,True,51.25,2025-12-23,-0.75,2025-12-22 12:50:00,300.0,8191.060000000003
CE,26150,2025-12-22 14:15:00,50.95,26133.65,26183.0,2025-12-22 14:45:00,52.2,TRAILING_STOP,1.25,93.75,41.96,51.79,30.0,True,56.8,2025-12-23,-0.75,2025-12-22 14:10:00,300.0,8242.850000000004
CE,26200,2025-12-22 15:05:00,33.4,26173.4,26198.7,2025-12-23 09:20:00,27.65,EOD_EXIT,-5.75,-431.25,41.04,-472.29,1095.0,False,33.4,2025-12-23,-1.0,2025-12-22 15:00:00,300.0,7770.560000000004
PE,26150,2025-12-23 09:45:00,57.4,26138.6,26181.6,2025-12-23 09:55:00,40.15,STOP_LOSS,-17.25,-1293.75,41.51,-1335.26,10.0,False,57.4,2025-12-23,-1.0,2025-12-23 09:40:00,300.0,6435.300000000004
CE,26200,2025-12-24 09:55:00,122.1,26221.85,26245.1,2025-12-24 10:20:00,122.65,TARGET,0.55,41.25,44.6,-3.35,25.0,False,134.55,2025-12-30,-0.5,2025-12-24 09:50:00,300.0,6431.9500000000035
PE,26200,2025-12-24 11:45:00,85.85,26184.4,26212.0,2025-12-24 12:00:00,78.8,STOP_LOSS,-7.05,-528.75,42.95,-571.7,15.0,False,85.85,2025-12-30,-1.0,2025-12-24 11:40:00,300.0,5860.250000000004
PE,26150,2025-12-24 15:10:00,75.4,26154.8,26178.0,2025-12-26 09:20:00,85.85,EOD_EXIT,10.45,783.75,43.22,740.53,2530.0,True,76.5,2025-12-30,-1.0,2025-12-24 15:05:00,300.0,6600.780000000003
PE,26050,2025-12-26 12:35:00,65.45,26040.9,26058.4,2025-12-26 13:10:00,62.15,TIME_EXIT,-3.3,-247.5,42.33,-289.83,35.0,False,65.45,2025-12-30,-0.75,2025-12-26 12:30:00,300.0,6310.9500000000035
PE,26050,2025-12-26 14:20:00,67.9,26022.5,26048.0,2025-12-26 14:35:00,65.55,STOP_LOSS,-2.35,-176.25,42.46,-218.71,15.0,False,67.9,2025-12-30,-1.0,2025-12-26 14:15:00,300.0,6092.240000000003
