entry_time,exit_time,option_type,strike,strike_type,expiry,entry_price,exit_price,entry_spot,exit_spot,pnl_points,pnl,exit_reason,hold_time_minutes,is_winner
2025-12-12 10:19:00,2025-12-12 10:22:00,CE,26000,ATM,2025-12-16,109.25,88.3,26003.4,25976.0,-20.950000000000003,-1571.2500000000002,STOP_LOSS,3.0,False
2025-12-12 10:25:00,2025-12-12 10:30:00,PE,25950,ATM,2025-12-16,79.95,74.1,25957.7,25965.95,-5.8500000000000085,-438.7500000000006,TRAILING_STOP,5.0,False
2025-12-12 10:32:00,2025-12-12 11:02:00,PE,25950,ATM,2025-12-16,75.2,71.15,25969.0,25975.6,-4.049999999999997,-303.7499999999998,TRAILING_STOP,30.0,False
2025-12-15 09:32:00,2025-12-15 09:46:00,PE,25900,ATM,2025-12-16,61.1,61.1,25923.4,25921.5,0.0,0.0,TRAILING_STOP,14.0,False
2025-12-15 09:49:00,2025-12-15 10:29:00,CE,25950,ATM,2025-12-16,70.85,83.65,25937.7,25976.05,12.800000000000011,960.0000000000009,TARGET,40.0,True
2025-12-15 10:31:00,2025-12-15 10:36:00,CE,26000,ATM,2025-12-16,59.35,50.4,25978.8,25962.1,-8.950000000000003,-671.2500000000002,STOP_LOSS,5.0,False
2025-12-15 10:40:00,2025-12-15 10:42:00,PE,25950,ATM,2025-12-16,70.95,62.55,25949.25,25963.05,-8.400000000000006,-630.0000000000005,STOP_LOSS,2.0,False
2025-12-15 10:48:00,2025-12-15 11:08:00,CE,26000,ATM,2025-12-16,63.1,55.0,25985.75,25978.0,-8.100000000000001,-607.5000000000001,STOP_LOSS,20.0,False
2025-12-15 11:26:00,2025-12-15 11:33:00,CE,26000,ATM,2025-12-16,60.15,53.65,25981.1,25977.45,-6.5,-487.5,TRAILING_STOP,7.0,False
2025-12-15 11:47:00,2025-12-15 11:50:00,CE,26000,ATM,2025-12-16,53.95,67.75,25979.05,25999.65,13.799999999999997,1034.9999999999998,TARGET,3.0,True
2025-12-15 12:02:00,2025-12-15 12:42:00,CE,26000,ATM,2025-12-16,80.4,71.35,26012.65,26009.05,-9.050000000000011,-678.7500000000009,STOP_LOSS,40.0,False
2025-12-15 12:59:00,2025-12-15 13:27:00,CE,26000,ATM,2025-12-16,75.9,76.25,26016.0,26026.2,0.3499999999999943,26.249999999999574,TRAILING_STOP,28.0,True
2025-12-15 13:34:00,2025-12-15 14:08:00,CE,26050,ATM,2025-12-16,54.95,44.15,26031.6,26011.7,-10.800000000000004,-810.0000000000003,STOP_LOSS,34.0,False
2025-12-16 09:30:00,2025-12-16 09:39:00,PE,25900,ATM,2025-12-16,39.35,37.0,25916.3,25917.0,-2.3500000000000014,-176.2500000000001,TRAILING_STOP,9.0,False
2025-12-16 09:42:00,2025-12-16 09:58:00,CE,25950,ATM,2025-12-16,38.7,27.2,25929.7,25912.3,-11.500000000000004,-862.5000000000002,STOP_LOSS,16.0,False
