Timestamp,Strategy,Spot,RSI,RSI_Ready,VWAP,ATM_Strike,PCR,CE_Price,PE_Price,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,PnL,Reason
13:11:55,STRATEGY_C,25884.9,38,True,26083.22,25900,0.68,138,98.15,42468,51074,0.5571,-0.4429,IN_POSITION_PE,-123.75,Monitoring @ Rs.77.60
13:12:10,STRATEGY_C,25885.45,39,True,26083.21,25900,0.68,138.2,98.2,42468,51074,0.5564,-0.4436,IN_POSITION_PE,-131.25,Monitoring @ Rs.77.55
13:12:22,STRATEGY_C,25886.9,42,True,26083.2,25900,0.68,140.45,95.8,42468,51074,0.5564,-0.4436,IN_POSITION_PE,-273.75,Monitoring @ Rs.75.70
13:12:34,STRATEGY_C,25886.8,42,True,26083.2,25900,0.68,140.2,95.8,42468,51074,0.5619,-0.4381,IN_POSITION_PE,-232.5,Monitoring @ Rs.76.25
13:12:52,STRATEGY_C,25887.2,42,True,26083.19,25900,0.68,140.2,96.1,42468,51074,0.5643,-0.4357,IN_POSITION_PE,-262.5,Monitoring @ Rs.75.85
13:13:20,STRATEGY_C,25889.65,46,True,26083.17,25900,0.68,143.3,93.4,42468,51074,0.568,-0.432,SCANNING,-397.5,Waiting for entry
13:13:34,STRATEGY_C,25891.65,49,True,26083.16,25900,0.68,143.25,93.4,42468,51074,0.5707,-0.4293,SCANNING,-397.5,Waiting for entry
13:13:46,STRATEGY_C,25890.6,48,True,26083.16,25900,0.68,142.75,94.1,42468,51074,0.571,-0.429,SCANNING,-397.5,Waiting for entry
13:13:56,STRATEGY_C,25890.8,48,True,26083.15,25900,0.68,143.35,93.2,42468,51074,0.5702,-0.4298,SCANNING,-397.5,Waiting for entry
13:14:08,STRATEGY_C,25891.0,49,True,26083.15,25900,0.68,143.1,93.9,42468,51074,0.5704,-0.4296,SCANNING,-397.5,Waiting for entry
13:14:20,STRATEGY_C,25889.55,46,True,26083.14,25900,0.68,143.25,94,42821,51447,0.5696,-0.4304,SCANNING,-397.5,Waiting for entry
