target_min,threshold,sl_frac,tp_frac,trades,wins,precision,trades_per_day,avg_pnl,total_pnl
3,0.52,0.0003,0.0006,118927,0,0.0,54.93163972286374,-41.58886137690121,-672658.2439100001
3,0.52,0.0005,0.001,118927,0,0.0,54.93163972286374,-41.70584579108446,-674550.349825
3,0.52,0.0005,0.0006,118927,0,0.0,54.93163972286374,-42.6033476613701,-689066.545075
3,0.52,,,118927,132,0.0011099245755799775,54.93163972286374,-43.03748069432423,-696088.2127500001
3,0.52,,0.001,118927,0,0.0,54.93163972286374,-43.83841253245951,-709042.4843000001
3,0.52,,0.0006,118927,0,0.0,54.93163972286374,-44.73591440274515,-723558.6795500001
3,0.5,0.0003,,218641,234,0.0010702475747915532,100.98891454965359,-39.784864061115954,-1095913.8654275
3,0.5,0.0003,0.001,218641,0,0.0,100.98891454965359,-40.620295403234586,-1118926.6571775
3,0.5,0.0005,,218641,234,0.0010702475747915532,100.98891454965359,-40.827066899640606,-1124622.3848175001
3,0.5,0.0003,0.0006,218641,0,0.0,100.98891454965359,-41.553913962735066,-1144644.1140175
3,0.5,0.0005,0.001,218641,0,0.0,100.98891454965359,-41.66249824175924,-1147635.1765675
3,0.5,0.0005,0.0006,218641,0,0.0,100.98891454965359,-42.59611680125972,-1173352.6334075
3,0.5,,,218641,234,0.0010702475747915532,100.98891454965359,-43.15820605959124,-1188835.9441175002
3,0.5,,0.001,218641,0,0.0,100.98891454965359,-43.99363740170987,-1211848.7358675
3,0.5,,0.0006,218641,0,0.0,100.98891454965359,-44.927255961210335,-1237566.1927075
